message_id,dispatch_id,sent_at,direction,content
msg_00001,dsp_0002,2026-03-01 19:02:57+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00002,dsp_0002,2026-03-01 18:49:57+00:00,inbound,To sem condição agora
msg_00003,dsp_0002,2026-03-01 19:32:57+00:00,outbound,Posso verificar condições especiais no seu caso.
msg_00004,dsp_0003,2026-03-05 14:05:01+00:00,outbound,Oi! Estamos entrando em contato sobre uma pendência financeira. Podemos conversar?
msg_00005,dsp_0003,2026-03-05 14:26:01+00:00,inbound,Qual o desconto?
msg_00006,dsp_0005,2026-03-06 16:40:14+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00007,dsp_0005,2026-03-06 16:44:14+00:00,inbound,Aceito
msg_00008,dsp_0005,2026-03-06 16:56:14+00:00,outbound,Posso oferecer desconto de 15% para pagamento à vista. Tem interesse?
msg_00009,dsp_0006,2026-03-03 08:51:51+00:00,outbound,Olá! Identificamos uma pendência no seu cadastro. Podemos conversar?
msg_00010,dsp_0006,2026-03-03 08:52:51+00:00,outbound,Certo! Vou gerar o boleto e enviar por aqui.
msg_00011,dsp_0007,2026-03-04 13:36:09+00:00,outbound,Olá! Você possui um valor em aberto. Gostaria de negociar?
msg_00012,dsp_0007,2026-03-04 13:37:09+00:00,inbound,"Oi, qual o valor?"
msg_00013,dsp_0007,2026-03-04 13:56:09+00:00,outbound,Posso verificar condições especiais no seu caso.
msg_00014,dsp_0008,2026-03-01 09:28:06+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00015,dsp_0009,2026-03-05 13:11:02+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00016,dsp_0011,2026-03-05 13:38:12+00:00,outbound,Oi! Temos uma condição especial para regularizar seu débito. Posso te ajudar?
msg_00017,dsp_0011,2026-03-05 13:43:12+00:00,outbound,Posso verificar condições especiais no seu caso.
msg_00018,dsp_0014,2026-03-07 13:17:23+00:00,outbound,Olá! Temos opções facilitadas para o pagamento do seu débito. Quer saber mais?
msg_00019,dsp_0014,2026-03-07 13:28:23+00:00,inbound,Manda as opções
msg_00020,dsp_0015,2026-03-06 12:48:59+00:00,outbound,Oi! Notamos um valor pendente. Posso apresentar condições de pagamento?
msg_00021,dsp_0015,2026-03-06 12:48:59+00:00,inbound,Em quantas vezes?
